GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,City_Code,Population,City,State_Abbr,City_State,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value,State
310M400US10180,78495,42430,36065,90.9,0.1,1.9,0,1.5,5.6,48021,66725,3.7,"Abilene, TX Metro Area",174006,Abilene,TX,"Abilene,TX",108776,4424,9415,33914,26161,7987,18266,8609,94937,26875,131634,14541,648,3952,16581,40426,148000,Texas
310M400US11100,129362,69355,60007,92.8,0.2,2.6,0,0.8,3.6,53087,73272,3.3,"Amarillo, TX Metro Area",268356,Amarillo,TX,"Amarillo,TX",172104,9764,12644,47345,42831,14328,32368,12824,149696,45192,226506,17031,2461,9600,5567,78201,160900,Texas
310M400US43300,60689,32207,28482,93,0,2,0.5,0.7,3.8,51158,68561,5.2,"Sherman-Denison, TX Metro Area",133991,Sherman-Denison,TX,"Sherman-Denison,TX",90519,3525,5658,26797,26545,8893,11880,7221,81336,19101,114158,7629,1168,2366,2667,18541,185800,Texas
310M400US31260,N,N,N,N,N,N,N,N,N,47519,58743,5.6,"Lufkin, TX Micro Area",87092,Lufkin,TX,"Lufkin,TX",57205,6031,4910,17945,14429,4235,7121,2534,46264,9655,69167,12912,1493,1049,1735,19589,143700,Texas
310M400US32580,331361,181932,149429,88.8,0.1,1.1,0,3.5,6.4,39165,55958,6.3,"McAllen-Edinburg-Mission, TX Metro Area",865939,McAllen-Edinburg-Mission,TX,"McAllen-Edinburg-Mission,TX",489388,97936,66895,117396,90472,25296,64552,26841,324557,91393,751719,4285,1514,8735,88329,799915,116200,Texas
310M400US33260,92320,51208,41112,92.3,0.1,0.8,0.7,2.1,4,80747,110510,1.8,"Midland, TX Metro Area",177218,Midland,TX,"Midland,TX",111202,6270,11912,26405,26852,9202,21751,8810,93020,30561,146927,13488,3069,3446,5239,80481,233000,Texas
310M400US22140,46498,23689,22809,93,0.1,1.3,0.6,0.5,4.5,44841,59736,7.4,"Farmington, NM Metro Area",125043,Farmington,NM,"Farmington,NM",81649,3844,8189,22134,24563,9678,7570,5671,69616,13241,66111,1074,50058,1492,2785,25663,185500,New Mexico
310M400US40740,26240,13688,12552,94.4,1,0.9,0.2,1.4,2.1,43941,57336,4,"Roswell, NM Micro Area",64689,Roswell,NM,"Roswell,NM",42081,5393,4373,10592,11818,3129,4311,2465,32315,6776,54650,1854,640,467,5432,37003,140400,New Mexico
310M400US29740,87707,47046,40661,91.7,0.8,2.9,0,0.7,4,35262,57752,6.2,"Las Cruces, NM Metro Area",217522,Las Cruces,NM,"Las Cruces,NM",134247,15655,11675,31650,27741,9019,24246,14261,106917,38507,192259,4341,2650,2084,11526,149162,167200,New Mexico
310M400US26020,28690,16560,12130,93.1,0,2.3,0,1.4,3.2,50871,65330,6.2,"Hobbs, NM Micro Area",69611,Hobbs,NM,"Hobbs,NM",41300,4902,6865,12934,9249,2557,2641,2152,29533,4793,63369,2597,546,732,1318,41323,141700,New Mexico
310M400US10460,25309,13534,11775,90.8,1,2.3,0,0.8,5.2,42591,53601,5.2,"Alamogordo, NM Micro Area",66781,Alamogordo,NM,"Alamogordo,NM",44690,2225,4646,12836,10789,5004,5822,3368,37819,9190,53505,2225,4380,751,3293,25857,135300,New Mexico
310M400US23700,N,N,N,N,N,N,N,N,N,34080,48580,13.8,"Gallup, NM Micro Area",72290,Gallup,NM,"Gallup,NM",44305,3352,6293,15120,11399,2878,2684,2579,34660,5263,8544,298,57633,797,3610,10419,130800,New Mexico
310M400US42140,69312,36081,33231,86.3,0.7,1.9,0.5,0.8,9.8,60193,87083,4.2,"Santa Fe, NM Metro Area",150056,Santa Fe,NM,"Santa Fe,NM",112194,6219,6810,27867,19728,7405,21263,22902,99165,44165,124979,1781,4554,1720,11100,76649,318200,New Mexico
310M400US10740,414732,217512,197220,90.7,1.4,1.3,0.6,1,5,51134,71429,6,"Albuquerque, NM Metro Area",916791,Albuquerque,NM,"Albuquerque,NM",633749,25574,47751,154685,146654,51127,116135,91823,560424,207958,718012,24752,52487,21431,61182,451627,203000,New Mexico
